Adj Close,Close,High,Low,Mov $,Mov %,Mov_noSP %,Open,Stock,Volume
2839.9599609375,2839.9599609375,2843.110107421875,2826.580078125,18.03,0.64%,,2827.8798828125,SP-0,1733260850.0
2821.929931640625,2821.929931640625,2843.39990234375,2819.8798828125,-11.35,-0.40%,,2835.4599609375,SP-1,3158450000.0
2833.280029296875,2833.280029296875,2842.199951171875,2825.81005859375,-20.3,-0.71%,,2838.89990234375,SP-2,3256040000.0
2853.580078125,2853.580078125,2862.47998046875,2851.97998046875,-4.12,-0.14%,,2857.18994140625,SP-3,3047050000.0
2857.699951171875,2857.699951171875,2862.43994140625,2853.090087890625,-0.75,-0.03%,,2856.7900390625,SP-4,2972200000.0
2858.449951171875,2858.449951171875,2863.429931640625,2855.919921875,,nan%,,2855.919921875,SP-5,3162770000.0
347.6400146484375,347.6400146484375,359.1994934082031,347.1000061035156,-8.77,-2.46%,-3.10%,358.45001220703125,TSLA-0,6841818.0
356.4100036621094,356.4100036621094,363.19000244140625,349.0199890136719,0.92,0.26%,0.66%,361.1300048828125,TSLA-1,10450200.0
355.489990234375,355.489990234375,360.0,346.0,3.04,0.86%,1.57%,354.0,TSLA-2,11552000.0
352.45001220703125,352.45001220703125,367.010009765625,345.7300109863281,-17.89,-4.83%,-4.69%,365.54998779296875,TSLA-3,17103700.0
370.3399963378906,370.3399963378906,382.6400146484375,367.1199951171875,-9.23,-2.43%,-2.41%,369.0899963378906,TSLA-4,24571200.0
379.57000732421875,379.57000732421875,387.4599914550781,339.1499938964844,,nan%,nan%,343.8399963378906,TSLA-5,30875800.0
1242.0999755859375,1242.0999755859375,1245.85498046875,1225.1099853515625,7.09,0.57%,-0.06%,1235.18994140625,GOOG-0,1101110.0
1235.010009765625,1235.010009765625,1249.27294921875,1233.6409912109375,-2.6,-0.21%,0.19%,1236.97998046875,GOOG-1,958100.0
1237.6099853515625,1237.6099853515625,1245.6949462890625,1232.0,-11.49,-0.92%,-0.21%,1243.0,GOOG-2,1108700.0
1249.0999755859375,1249.0999755859375,1255.5419921875,1246.010009765625,3.49,0.28%,0.42%,1249.9000244140625,GOOG-3,841800.0
1245.6099853515625,1245.6099853515625,1256.5,1238.008056640625,3.39,0.27%,0.30%,1240.469970703125,GOOG-4,1370300.0
1242.219970703125,1242.219970703125,1251.1700439453125,1236.1700439453125,,nan%,nan%,1237.0,GOOG-5,1494000.0
209.75,209.75,210.55999755859375,208.25999450683594,0.88,0.42%,-0.22%,210.15499877929688,AAPL-0,18847311.0
208.8699951171875,208.8699951171875,210.9499969482422,207.6999969482422,1.34,0.65%,1.05%,207.6999969482422,AAPL-1,25869100.0
207.52999877929688,207.52999877929688,209.10000610351562,206.6699981689453,-0.62,-0.30%,0.41%,207.36000061035156,AAPL-2,24611200.0
208.14999389648438,208.8800048828125,209.77999877929688,207.1999969482422,1.62,0.78%,0.93%,207.27999877929688,AAPL-3,23469200.0
206.52569580078125,207.25,207.80999755859375,204.52000427246094,0.14,0.07%,0.09%,206.0500030517578,AAPL-4,22525500.0
206.3861846923828,207.11000061035156,209.5,206.75999450683594,,nan%,nan%,209.32000732421875,AAPL-5,25587400.0
1919.6500244140625,1919.6500244140625,1921.010009765625,1900.0,23.45,1.24%,0.60%,1919.3900146484375,AMZN-0,3684445.0
1896.199951171875,1896.199951171875,1925.0,1893.6700439453125,9.9,0.52%,0.93%,1898.5,AMZN-1,5512600.0
1886.300048828125,1886.300048828125,1899.5,1878.2099609375,-12.22,-0.64%,0.07%,1888.510009765625,AMZN-2,3639900.0
1898.52001953125,1898.52001953125,1914.5699462890625,1877.47998046875,12.0,0.64%,0.78%,1882.0,AMZN-3,4849900.0
1886.52001953125,1886.52001953125,1891.510009765625,1854.5,24.04,1.29%,1.32%,1861.0,AMZN-4,3963000.0
1862.47998046875,1862.47998046875,1869.719970703125,1846.27001953125,,nan%,nan%,1854.530029296875,AMZN-5,3377500.0
181.11000061035156,181.11000061035156,181.99000549316406,178.6199951171875,1.06,0.59%,-0.05%,180.7100067138672,FB-0,19090274.0
180.0500030517578,180.0500030517578,182.61000061035156,178.89999389648438,-0.21,-0.12%,0.28%,180.10000610351562,FB-1,17369400.0
180.25999450683594,180.25999450683594,182.10000610351562,179.4199981689453,-2.83,-1.55%,-0.83%,182.0399932861328,FB-2,21500400.0
183.08999633789062,183.08999633789062,186.57000732421875,182.47999572753906,-2.09,-1.13%,-0.98%,185.85000610351562,FB-3,19696700.0
185.17999267578125,185.17999267578125,186.85000610351562,183.75999450683594,1.37,0.75%,0.77%,184.75,FB-4,22205200.0
183.80999755859375,183.80999755859375,188.3000030517578,183.72000122070312,,nan%,nan%,186.5,FB-5,33398600.0
109.55999755859375,109.55999755859375,109.75,108.04000091552734,1.35,1.25%,0.61%,108.55999755859375,MSFT-0,16636919.0
108.20999908447266,108.20999908447266,109.58000183105469,108.0999984741211,-0.79,-0.72%,-0.32%,109.23999786376953,MSFT-1,18472500.0
109.0,109.0,109.69000244140625,108.37999725341797,-0.67,-0.61%,0.10%,109.41999816894531,MSFT-2,18183700.0
109.66999816894531,109.66999816894531,110.16000366210938,109.5999984741211,0.18,0.16%,0.31%,109.70999908447266,MSFT-3,13660400.0
109.48999786376953,109.48999786376953,109.75,108.76000213623047,0.61,0.56%,0.59%,109.33000183105469,MSFT-4,15487500.0
108.87999725341797,108.87999725341797,109.0999984741211,108.16999816894531,,nan%,nan%,108.55999755859375,MSFT-5,16080200.0
